epoch_num,clean_acc,adv_acc,loss
1,12.744,18.37,2.182668447494507
2,19.722,23.13,2.1222665309906006
3,23.19,25.21,2.108656883239746
4,25.392,27.54,2.024806499481201
5,27.302,30.58,1.909758448600769
6,28.832,31.31,1.8678830862045288
7,30.488,32.27,1.8482965230941772
8,31.732,35.8,1.7190691232681274
9,33.258,36.18,1.7547427415847778
10,34.826,37.03,1.699366807937622
11,36.036,38.09,1.7579026222229004
12,37.746,40.27,1.566530466079712
13,39.318,40.45,1.6948710680007935
14,40.082,40.92,1.5478991270065308
15,41.25,43.21,1.5190163850784302
16,42.22,44.06,1.465256690979004
17,43.186,44.72,1.450320839881897
18,44.02,44.62,1.5175565481185913
19,44.956,47.24,1.2868379354476929
20,45.44,44.86,1.493098497390747
21,45.938,47.37,1.3081735372543335
22,46.806,47.46,1.329838752746582
23,47.484,47.03,1.4116754531860352
24,47.492,47.61,1.539969801902771
25,48.242,47.17,1.4247078895568848
26,48.684,47.98,1.285751223564148
27,48.864,48.4,1.3718827962875366
28,48.998,48.92,1.31844961643219
29,49.92,48.92,1.2529525756835938
30,50.088,48.4,1.2966477870941162
31,50.402,48.98,1.3377110958099365
32,50.776,49.94,1.2499545812606812
33,50.61,48.72,1.3148573637008667
34,51.18,51.02,1.331877589225769
35,51.484,49.34,1.2991445064544678
36,51.598,50.79,1.2380850315093994
37,51.782,50.99,1.3101330995559692
38,52.26,49.53,1.1754839420318604
39,52.63,51.19,1.2927610874176025
40,52.674,50.77,1.0867468118667603
41,52.894,48.47,1.2798919677734375
42,52.838,51.18,1.239971399307251
43,53.206,50.83,1.1688989400863647
44,53.308,50.22,1.1716018915176392
45,53.384,49.91,1.2924836874008179
46,53.58,50.32,1.2971271276474
47,53.592,51.69,1.2173247337341309
48,54.08,52.02,1.155014157295227
49,54.488,50.18,1.1508797407150269
50,54.114,51.83,1.14365553855896
51,54.26,50.22,1.2084405422210693
52,54.336,50.81,1.2171891927719116
53,54.506,48.98,1.2329930067062378
54,54.864,49.56,1.237204909324646
55,54.528,50.48,1.204049825668335
56,54.782,51.32,1.1746714115142822
57,55.084,51.41,1.1887121200561523
58,55.122,50.52,1.2590821981430054
59,55.126,51.88,1.1076909303665161
60,55.172,52.61,1.1920057535171509
61,61.958,56.94,0.8832246661186218
62,64.286,56.61,0.9497480988502502
63,65.136,56.29,0.8239223957061768
64,66.072,56.59,0.8608825206756592
65,66.776,56.07,0.8096404075622559
66,67.058,56.1,0.8286128044128418
67,67.844,55.81,0.8153113126754761
68,68.02,55.51,0.7969740629196167
69,68.402,55.59,0.7944321632385254
70,68.448,54.97,0.7712115049362183
71,68.698,54.59,0.754679799079895
72,68.936,55.39,0.80439692735672
73,69.486,54.49,0.8104584217071533
74,69.494,54.44,0.7498068809509277
75,69.742,53.76,0.8008607029914856
76,69.844,54.03,0.7374049425125122
77,69.884,53.53,0.732205867767334
78,69.998,53.33,0.7462945580482483
79,70.186,53.61,0.7254208326339722
80,70.076,52.76,0.7543633580207825
81,70.428,53.34,0.726839542388916
82,70.116,53.29,0.7425252199172974
83,70.652,54.14,0.6590874195098877
84,70.838,52.85,0.6907957196235657
85,71.206,53.32,0.7021327614784241
86,71.172,53.23,0.7126697897911072
87,71.274,53.08,0.6953142881393433
88,71.56,52.52,0.6847659349441528
89,71.632,52.27,0.794261634349823
90,71.592,51.43,0.7024326920509338
91,72.21,52.51,0.6138657927513123
92,72.444,52.86,0.7687661051750183
93,72.106,52.94,0.6952036619186401
94,72.56,51.52,0.6616677045822144
95,72.832,52.39,0.6625174283981323
96,72.356,50.88,0.6489670276641846
97,72.81,52.48,0.6478379964828491
98,72.986,51.65,0.6543143391609192
99,73.456,50.7,0.650450587272644
100,73.578,52.03,0.6109194159507751
