epoch_num,clean_acc,adv_acc
1,25.1,7.54
2,39.98,4.24
3,50.53,4.03
4,35.77,1.24
5,61.05,0.25
6,63.36,0.09
7,68.02,0.02
8,75.18,0.02
9,69.44,0.01
10,59.51,0
11,68.38,0
12,77.88,0
13,76.07,0
14,69.15,0.01
15,75.7,0
16,72.43,0
17,75.24,0
18,80.83,0
19,77.72,0
20,79.52,0
21,76.96,0
22,77.48,0
23,77.81,0
24,82.32,0
25,77.39,0
26,77.76,0
27,64.25,0
28,80.92,0
29,77.93,0
30,78.35,0
31,80.12,0
32,84.35,0
33,78.77,0
34,76.34,0
35,73.76,0
36,79.79,0
37,77.16,0
38,82.31,0
39,81.04,0
40,79.99,0
41,79.18,0
42,85.58,0
43,82.88,0.01
44,79.6,0
45,74.5,0
46,76.16,0
47,79.07,0
48,79.77,0
49,78.55,0.01
50,75.32,0
51,66.56,0
52,79.23,0
53,83.07,0
54,82.21,0
55,83.67,0
56,77.6,0.01
57,80.4,0
58,82.69,0
59,77.49,0
60,81.12,0
61,92.48,0
62,92.56,0
63,92.5,0
64,92.03,0.01
65,91.58,0.01
66,92.89,0.01
67,91.91,0
68,91.02,0
69,90.68,0
70,91.45,0
71,91.93,0
72,91.5,0
73,90.87,0
74,91.21,0.01
75,91.43,0
76,90.63,0
77,88.87,0
78,91.44,0.01
79,90.97,0
80,91.37,0.02
81,90.92,0
82,91.32,0.01
83,90.52,0.04
84,87.62,0.01
85,90.92,0
86,89.96,0
87,90.65,0
88,89.9,0
89,89.86,0
90,90.16,0
91,89.85,0
92,89.06,0.01
93,91.55,0
94,89.29,0.02
95,89.84,0
96,90.47,0
97,87.34,0
98,88.95,0.03
99,91.34,0.01
100,91.64,0.01
